"BU_DESC__c","BU_ID__c","Code_Indexing__c","COUNTRY_ID__c","COUNTRY__c","GM_DESC__c","GM_ID__c","Id","MARKET_DESC__c","MARKET_ID__c","Name","OwnerId","Product_Id__c","Product_Name__c","RHMS_Vertical_Id__c","SBU1_DESC__c","SBU1_ID__c","SBU2_DESC__c","SBU2_ID__c","STATE_ID__c","SUBVERTICAL_DESC__c","SUBVERTICAL_ID__c","VERTICAL_DESC__c","VERTICAL_ID__c"
"","","PER||AR","PER","Peru","","","a0h0q000004KjPiAAK","","","Arequipa","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","PHL||AR","PHL","Philippines","","","a0h0q000004KjPjAAK","","","Aurora","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","ROU||AR","ROU","Romania","","","a0h0q000004KjPkAAK","","","Arad","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","RUS||AR","RUS","Russian Federation","","","a0h0q000004KjPlAAK","","","Arkhangelsk Region","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","SAU||AR","SAU","Saudi Arabia","","","a0h0q000004KjPmAAK","","","Riyadh Province","0050q0000036HRvAAM","","","","","","","","1","","","",""
"","","TUR||AR","TUR","Turkey","","","a0h0q000004KjPnAAK","","","Ardahan","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","USA||AR","USA","United States","","","a0h0q000004KjPoAAK","","","Arkansas","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","VEN||AR","VEN","Venezuela","","","a0h0q000004KjPpAAK","","","Aragua","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","EGY||AS","EGY","Egypt","","","a0h0q000004KjPqAAK","","","Asyut","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","ESP||AS","ESP","Spain","","","a0h0q000004KjPrAAK","","","Asturias","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","FRA||AS","FRA","France","","","a0h0q000004KjPsAAK","","","Aisne","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","GBR||AS","GBR","United Kingdom","","","a0h0q000004KjPtAAK","","","Aberdeenshire","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","IND||AS","IND","India","","","a0h0q000004KjPuAAK","","","Assam","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","NLD||AS","NLD","Netherlands","","","a0h0q000004KjPvAAK","","","Assen","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","RUS||AS","RUS","Russian Federation","","","a0h0q000004KjPwAAK","","","Astrakhan Region","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","SAU||AS","SAU","Saudi Arabia","","","a0h0q000004KjPxAAK","","","Asir","0050q0000036HRvAAM","","","","","","","","AS","","","",""
"","","USA||AS","USA","United States","","","a0h0q000004KjPyAAK","","","American Samoa","0050q0000036HRvAAM","","","","","","","","AS","","","",""
